time,date,dir,result,pnl,hold
2026-05-28 08:55:00-05:00,2026-05-28,LONG,target,0.3,3.0
2026-05-28 09:05:00-05:00,2026-05-28,LONG,target,0.3,1.0
2026-06-01 08:55:00-05:00,2026-06-01,LONG,stop,-0.3,1.0
2026-06-02 09:15:00-05:00,2026-06-02,LONG,target,0.3,2.0
2026-06-04 11:50:00-05:00,2026-06-04,LONG,scratch,-0.08190385220399916,32.0
2026-06-05 09:15:00-05:00,2026-06-05,LONG,stop,-0.3,1.0
2026-06-08 12:25:00-05:00,2026-06-08,LONG,target,0.3,1.0
2026-06-10 12:45:00-05:00,2026-06-10,LONG,target,0.3,3.0
2026-06-11 08:45:00-05:00,2026-06-11,LONG,target,0.3,1.0
2026-06-11 12:25:00-05:00,2026-06-11,LONG,target,0.3,1.0
2026-06-11 13:15:00-05:00,2026-06-11,LONG,stop,-0.3,2.0
2026-06-16 10:20:00-05:00,2026-06-16,LONG,target,0.3,10.0
2026-06-17 09:20:00-05:00,2026-06-17,LONG,stop,-0.3,2.0
2026-06-22 11:05:00-05:00,2026-06-22,LONG,stop,-0.3,11.0
2026-06-24 09:15:00-05:00,2026-06-24,LONG,target,0.3,1.0
2026-06-24 10:20:00-05:00,2026-06-24,LONG,target,0.3,1.0
2026-06-25 13:05:00-05:00,2026-06-25,LONG,target,0.3,2.0
2026-06-26 09:00:00-05:00,2026-06-26,LONG,target,0.3,1.0
2026-06-26 13:00:00-05:00,2026-06-26,LONG,target,0.3,2.0
2026-06-26 13:30:00-05:00,2026-06-26,LONG,stop,-0.3,1.0
2026-06-30 09:50:00-05:00,2026-06-30,LONG,target,0.3,5.0
2026-06-30 12:40:00-05:00,2026-06-30,LONG,stop,-0.3,10.0
2026-06-30 13:55:00-05:00,2026-06-30,LONG,target,0.3,5.0
2026-07-01 09:25:00-05:00,2026-07-01,LONG,target,0.3,3.0
2026-07-01 13:05:00-05:00,2026-07-01,LONG,target,0.3,7.0
2026-07-06 09:15:00-05:00,2026-07-06,LONG,target,0.3,4.0
2026-07-09 09:15:00-05:00,2026-07-09,LONG,target,0.3,2.0
2026-07-09 12:00:00-05:00,2026-07-09,LONG,scratch,0.2380207940220989,30.0
2026-07-14 08:50:00-05:00,2026-07-14,LONG,stop,-0.3,2.0
2026-07-14 12:05:00-05:00,2026-07-14,LONG,target,0.3,24.0
2026-07-14 13:55:00-05:00,2026-07-14,LONG,scratch,-0.04278468209714009,7.0
2026-07-15 09:00:00-05:00,2026-07-15,LONG,target,0.3,2.0
2026-04-21 10:20:00-05:00,2026-04-21,SHORT,target,0.3,5.0
2026-04-21 10:35:00-05:00,2026-04-21,SHORT,target,0.3,3.0
2026-04-21 10:50:00-05:00,2026-04-21,SHORT,target,0.3,3.0
2026-04-23 11:40:00-05:00,2026-04-23,SHORT,target,0.3,7.0
2026-04-23 11:55:00-05:00,2026-04-23,SHORT,target,0.3,4.0
2026-04-24 12:05:00-05:00,2026-04-24,SHORT,scratch,-0.11954325156965562,29.0
2026-04-27 09:20:00-05:00,2026-04-27,SHORT,target,0.3,11.0
2026-04-29 10:00:00-05:00,2026-04-29,SHORT,target,0.3,10.0
2026-04-29 10:45:00-05:00,2026-04-29,SHORT,stop,-0.3,7.0
2026-05-07 10:45:00-05:00,2026-05-07,SHORT,target,0.3,3.0
2026-05-07 12:25:00-05:00,2026-05-07,SHORT,target,0.3,4.0
2026-05-07 13:20:00-05:00,2026-05-07,SHORT,target,0.3,3.0
2026-05-07 13:35:00-05:00,2026-05-07,SHORT,target,0.3,2.0
2026-05-11 10:55:00-05:00,2026-05-11,SHORT,target,0.3,9.0
2026-05-11 11:40:00-05:00,2026-05-11,SHORT,target,0.3,3.0
2026-05-14 11:45:00-05:00,2026-05-14,SHORT,stop,-0.3,1.0
2026-05-19 09:15:00-05:00,2026-05-19,SHORT,target,0.3,3.0
2026-05-21 09:20:00-05:00,2026-05-21,SHORT,stop,-0.3,2.0
2026-05-26 13:50:00-05:00,2026-05-26,SHORT,target,0.3,5.0
2026-05-27 10:45:00-05:00,2026-05-27,SHORT,stop,-0.3,2.0
2026-05-27 11:45:00-05:00,2026-05-27,SHORT,target,0.3,32.0
2026-05-27 12:00:00-05:00,2026-05-27,SHORT,target,0.3,29.0
2026-05-27 12:15:00-05:00,2026-05-27,SHORT,target,0.3,26.0
2026-05-27 12:55:00-05:00,2026-05-27,SHORT,target,0.3,18.0
2026-06-03 09:15:00-05:00,2026-06-03,SHORT,target,0.3,2.0
2026-06-03 09:20:00-05:00,2026-06-03,SHORT,target,0.3,3.0
2026-06-03 11:15:00-05:00,2026-06-03,SHORT,target,0.3,2.0
2026-06-05 11:05:00-05:00,2026-06-05,SHORT,target,0.3,3.0
2026-06-05 11:10:00-05:00,2026-06-05,SHORT,target,0.3,2.0
2026-06-05 13:20:00-05:00,2026-06-05,SHORT,target,0.3,3.0
2026-06-08 12:40:00-05:00,2026-06-08,SHORT,stop,-0.3,2.0
2026-06-09 11:05:00-05:00,2026-06-09,SHORT,target,0.3,4.0
2026-06-12 12:25:00-05:00,2026-06-12,SHORT,target,0.3,3.0
2026-06-12 13:55:00-05:00,2026-06-12,SHORT,scratch,-0.027548403290552758,7.0
2026-06-17 09:30:00-05:00,2026-06-17,SHORT,target,0.3,1.0
2026-06-17 13:00:00-05:00,2026-06-17,SHORT,target,0.3,5.0
2026-06-17 13:45:00-05:00,2026-06-17,SHORT,target,0.3,2.0
2026-06-18 10:00:00-05:00,2026-06-18,SHORT,target,0.3,3.0
2026-06-22 09:30:00-05:00,2026-06-22,SHORT,target,0.3,4.0
2026-06-22 10:45:00-05:00,2026-06-22,SHORT,target,0.3,17.0
2026-06-22 11:00:00-05:00,2026-06-22,SHORT,target,0.3,14.0
2026-06-22 11:45:00-05:00,2026-06-22,SHORT,target,0.3,10.0
2026-06-23 12:00:00-05:00,2026-06-23,SHORT,stop,-0.3,2.0
2026-06-24 08:55:00-05:00,2026-06-24,SHORT,stop,-0.3,5.0
2026-06-24 13:35:00-05:00,2026-06-24,SHORT,target,0.3,2.0
2026-06-26 10:25:00-05:00,2026-06-26,SHORT,target,0.3,1.0
2026-06-29 08:50:00-05:00,2026-06-29,SHORT,target,0.3,2.0
2026-07-01 12:55:00-05:00,2026-07-01,SHORT,target,0.3,1.0
2026-07-07 13:50:00-05:00,2026-07-07,SHORT,scratch,0.025630072618539085,8.0
2026-07-13 10:25:00-05:00,2026-07-13,SHORT,target,0.3,2.0
2026-07-13 11:00:00-05:00,2026-07-13,SHORT,target,0.3,8.0
2026-07-13 11:15:00-05:00,2026-07-13,SHORT,target,0.3,5.0
2026-07-13 11:25:00-05:00,2026-07-13,SHORT,target,0.3,2.0
2026-07-14 10:25:00-05:00,2026-07-14,SHORT,target,0.3,6.0
