logged_at_cst,category,ticker,book,direction,signal,confluence,signal_price,entry_ref,target_price,stop_price,stop_deadline_cst,target_deadline_cst,acc_tp_before_sl_pct,acc_strict_pct,bar_time_cst,repeats,hot,engines,eng_hot,tfs,econ,outcome,outcome_at
2026-07-15 11:06:04,stock,NVDA,B,SHORT,below_vwap+adi_dn+below_pivot+hist_turn_dn,1,207.82,207.82,207.2,208.44,11:35,12:05,85.7,85.7,2026-07-15 11:00,1,,,,,,target,11:05
2026-07-15 10:40:13,stock,AAPL,B,LONG,adi_up+above_pivot+strong_close,3,326.84,326.84,327.82,325.86,11:10,11:40,87.5,84.0,2026-07-15 10:35,1,,,,,,stop,10:50
2026-07-15 10:31:21,etf,SMH,B,LONG,macd_x_up_neg+strong_close,16,585.9,585.9,587.66,584.14,11:00,11:30,90.9,76.9,2026-07-15 10:25,1,,,,,,stop,10:35
2026-07-15 10:21:09,stock,COIN,B,LONG,macd_x_up+hist_turn_up,3,164.68,164.68,165.18,164.19,10:50,11:20,85.7,85.7,2026-07-15 10:15,1,,,,,,stop,10:20
2026-07-15 10:20:28,etf,QQQ,B,LONG,adi_up+s1_bounce,1,715.4,715.4,717.55,713.25,14:20,14:20,90.9,90.9,2026-07-15 10:15,1,,,,,,stop,11:00
2026-07-15 10:00:59,etf,QQQ,B,LONG,adi_up+s1_bounce,1,715.32,715.32,717.46,713.17,13:40,13:40,90.9,90.9,2026-07-15 09:35,3,1,,,,,stop,11:05
2026-07-15 09:16:02,stock,NVDA,B,SHORT,poc_reject_dn+hist_turn_dn+weak_close,1,211.35,211.35,210.72,211.99,09:45,10:15,88.9,88.9,2026-07-15 09:10,1,,,,,,target,09:20
2026-07-15 09:15:58,stock,AAPL,B,LONG,delta_surge+above_pivot+strong_close,10,324.79,324.79,325.76,323.81,09:45,10:15,88.9,84.2,2026-07-15 09:10,1,,,,,,stop,09:35
2026-07-15 09:05:42,stock,NVDA,B,SHORT,poc_reject_dn+hist_turn_dn,2,210.64,210.64,210.01,211.27,09:35,10:05,88.9,88.9,2026-07-15 09:00,1,,,,,,stop,09:05
2026-07-15 09:05:39,stock,AAPL,B,LONG,above_vwap+adi_up+hist_turn_up+strong_close,16,323.26,323.26,324.23,322.29,09:35,10:05,90.9,83.3,2026-07-15 09:00,1,,,,,,target,09:10
2026-07-14 18:13:58,stock,COIN,B,LONG,macd_x_up+hist_turn_up,3,161.68,161.68,162.17,161.19,13:00,13:30,85.7,85.7,2026-07-14 12:25,1,,,,,,target,12:35
2026-07-14 18:13:54,etf,SMH,B,LONG,above_pivot+macd_x_up_neg,11,598.2,598.2,599.99,596.41,10:25,10:55,91.7,73.3,2026-07-14 09:50,1,,,,,,target,10:00
2026-07-14 18:13:35,stock,LLY,B,SHORT,macd_x_dn_pos+hist_turn_dn,2,1154.37,1154.37,1150.91,1157.83,13:55,14:25,85.7,75.0,2026-07-14 13:20,1,,,,,,timeout,14:25
2026-07-14 18:13:31,stock,TSLA,B,LONG,above_pivot+macd_x_up,38,400.54,400.54,401.74,399.33,10:40,11:10,88.9,88.9,2026-07-14 10:05,1,,,,,,target,10:10
2026-07-14 17:30:22,stock,NVDA,B,LONG,above_vwap+pm_high_break,46,208.68,208.68,209.31,208.06,10:55,11:25,87.5,87.5,2026-07-14 10:20,1,,,,,,target,10:45
2026-07-14 16:35:08,etf,QQQ,B,SHORT,adi_dn+r1_reject,20,716.67,716.67,715.17,718.17,09:40,10:10,92.3,85.7,2026-07-14 09:05,2,,,,,,target,09:15
2026-07-14 16:35:08,etf,QQQ,B,LONG,vwap_reclaim+delta_surge,22,719.29,719.29,720.79,717.79,10:05,10:35,87.5,87.5,2026-07-14 09:30,1,,,,,,stop,09:45
2026-07-24 12:28:36,etf,GLD,B,SHORT,r1_reject+yhigh_reject+weak_close,1,372.73,372.73,371.8,373.66,09:35,09:35,100.0,50.0,2026-07-24 09:00,1,,30m+1h,2,5m,,timeout,09:35
2026-07-24 12:25:54,etf,SMH,B,SHORT,below_pivot+weak_close+orb_break_dn_v,2,569.98,569.98,568.56,571.4,14:35,14:35,85.7,85.7,2026-07-24 11:35,1,,30m+1h+2h+4h,4,5m,,target,11:50
